Algorithm,Distance,Rotation,Energy Cost,Num Waypoints,Returned to Start
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1179.1904296875,1080.798095703125,155.95556640625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1179.1904296875,1080.798095703125,155.95556640625,31,True
AS,1179.1904296875,1080.798095703125,155.95556640625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1083.72314453125,1110.465576171875,145.35643005371094,30,False
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1083.72314453125,1110.465576171875,145.35643005371094,30,False
AS,1179.1904296875,1080.798095703125,155.95556640625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
AS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
MMAS,1201.4503173828125,1051.729248046875,158.04373168945312,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
MMAS,1145.4403076171875,1317.44580078125,156.12106323242188,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
MMAS,1137.463134765625,1110.465576171875,151.6117706298828,30,False
MMAS,1203.693603515625,971.57763671875,156.91822814941406,31,True
MMAS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
MMAS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
MMAS,1202.3355712890625,969.83935546875,156.73007202148438,31,True
MMAS,1179.1904296875,1080.798095703125,155.95556640625,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1202.3355712890625,969.83935546875,156.73007202148438,31,True
MMAS,1130.6937255859375,1110.465576171875,150.8238067626953,30,False
MMAS,1202.3355712890625,969.83935546875,156.73007202148438,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1179.1904296875,1080.798095703125,155.95556640625,31,True
MMAS,1179.1904296875,1080.798095703125,155.95556640625,31,True
MMAS,1179.1905517578125,1080.798095703125,155.95559692382812,31,True
MMAS,1203.6937255859375,1151.5775146484375,160.03224182128906,31,True
MMAS,918.08056640625,996.4043579101562,124.10237121582031,21,False
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1092.943359375,930.4655151367188,143.315673828125,28,False
MMAS,1132.2198486328125,1321.729248046875,154.65631103515625,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1203.6937255859375,971.57763671875,156.91824340820312,31,True
MMAS,1203.693603515625,971.57763671875,156.91822814941406,31,True
